geo_level,geo_name,year,state_name,pct_black_alone,pct_owner_occupied_black_alone,rpl_themes,quartiles_rpl_themes
county,"Denton County, Texas",2023,Texas,10.7,6.9,0.380000000,26-50% of geographies
county,"Forest County, Wisconsin",2023,Wisconsin,0.4,0.2,0.380000000,26-50% of geographies
county,"Knox County, Missouri",2023,Missouri,0.9,0.0,0.268000000,26-50% of geographies
county,"Ontario County, New York",2023,New York,2.3,0.8,0.268000000,26-50% of geographies
county,"Louisa County, Iowa",2023,Iowa,0.6,0.1,0.268000000,26-50% of geographies
county,"Warren County, Virginia",2023,Virginia,5.1,1.7,0.496000000,26-50% of geographies
county,"Box Butte County, Nebraska",2023,Nebraska,3.4,0.0,0.496000000,26-50% of geographies
county,"Schuyler County, Illinois",2023,Illinois,4.7,0.0,0.496000000,26-50% of geographies
county,"Fergus County, Montana",2023,Montana,0.6,1.0,0.384000000,26-50% of geographies
county,"Madison County, Kentucky",2023,Kentucky,3.5,2.4,0.384000000,26-50% of geographies
county,"Ascension Parish, Louisiana",2023,Louisiana,22.9,19.6,0.384000000,26-50% of geographies
county,"Knox County, Nebraska",2023,Nebraska,0.6,0.2,0.272000000,26-50% of geographies
county,"Chase County, Nebraska",2023,Nebraska,0.4,0.0,0.272000000,26-50% of geographies
county,"Mason County, Texas",2023,Texas,0.1,0.0,0.272000000,26-50% of geographies
county,"Bannock County, Idaho",2023,Idaho,0.9,0.6,0.500000000,26-50% of geographies
county,"Cass County, Illinois",2023,Illinois,3.8,1.9,0.500000000,26-50% of geographies
county,"Whatcom County, Washington",2023,Washington,0.9,0.6,0.500000000,26-50% of geographies
county,"Rogers County, Oklahoma",2023,Oklahoma,1.0,0.7,0.388000000,26-50% of geographies
county,"Page County, Iowa",2023,Iowa,1.8,0.7,0.388000000,26-50% of geographies
county,"Washington County, Utah",2023,Utah,0.5,0.3,0.388000000,26-50% of geographies
county,"Otsego County, Michigan",2023,Michigan,0.9,0.0,0.276000000,26-50% of geographies
county,"Missoula County, Montana",2023,Montana,0.6,0.1,0.276000000,26-50% of geographies
county,"Herkimer County, New York",2023,New York,1.0,0.8,0.276000000,26-50% of geographies
county,"De Baca County, New Mexico",2023,New Mexico,0.1,0.0,0.504000000,26-50% of geographies
