geo_level,geo_name,year,state_name,pct_black_alone,pct_homeownership_black_alone,median_home_value_owner_occupied_houses_with_mortages,median_home_value_owner_occupied_houses_without_mortages,quartiles_median_home_value_owner_occupied_houses_with_mortages,quartiles_median_home_value_owner_occupied_houses_without_mortages
zcta,57246,2023,,0.0,,,80000.0,,Bottom 25% of geographies
zcta,51558,2023,,0.0,,67400.0,80000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,41219,2023,,0.0,,111900.0,81300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,49961,2023,,0.0,,130000.0,81400.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,62814,2023,,0.0,,125800.0,83000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,72132,2023,,6.0,63.1,175700.0,84800.0,26-50% of geographies,Bottom 25% of geographies
zcta,16329,2023,,0.0,,110700.0,85000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,36005,2023,,26.9,89.6,118800.0,86000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,70541,2023,,72.7,39.6,,86800.0,,Bottom 25% of geographies
zcta,78343,2023,,7.1,100.0,144300.0,87000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,89311,2023,,0.0,,,88400.0,,Bottom 25% of geographies
zcta,41572,2023,,0.0,,117900.0,89800.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,72513,2023,,1.1,,109300.0,90600.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,74538,2023,,0.3,91.6,100000.0,90900.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,71373,2023,,24.0,54.7,145000.0,91000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,32680,2023,,1.1,84.7,123700.0,92100.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,67801,2023,,3.4,45.9,189800.0,92900.0,26-50% of geographies,Bottom 25% of geographies
zcta,22976,2023,,5.9,100.0,,93600.0,,Bottom 25% of geographies
zcta,35805,2023,,31.7,4.5,132800.0,94300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,67642,2023,,2.3,99.1,106300.0,96300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,14821,2023,,0.5,,149100.0,97400.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,50645,2023,,3.4,,192900.0,98000.0,26-50% of geographies,Bottom 25% of geographies
zcta,66424,2023,,1.3,100.0,259500.0,98300.0,51-75% of geographies,Bottom 25% of geographies
zcta,26301,2023,,1.9,75.2,141500.0,99800.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,14619,2023,,68.8,54.9,121000.0,99900.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,27242,2023,,15.5,44.7,201400.0,102200.0,26-50% of geographies,Bottom 25% of geographies
zcta,39664,2023,,20.5,100.0,97600.0,103300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,85301,2023,,8.9,18.2,248400.0,104700.0,51-75% of geographies,Bottom 25% of geographies
zcta,71353,2023,,24.1,69.9,192600.0,105500.0,26-50% of geographies,Bottom 25% of geographies
zcta,74957,2023,,0.0,,160400.0,106000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,25976,2023,,0.0,,122900.0,106300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,68952,2023,,0.0,,,107000.0,,Bottom 25% of geographies
zcta,61462,2023,,3.9,29.0,97500.0,107800.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,58445,2023,,0.0,,162500.0,107800.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,72944,2023,,1.2,,119600.0,108000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,78069,2023,,0.0,,105700.0,108500.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,12981,2023,,0.0,,149700.0,108700.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,74764,2023,,2.9,38.1,168100.0,108700.0,26-50% of geographies,Bottom 25% of geographies
zcta,30635,2023,,29.4,55.9,149600.0,109400.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,72103,2023,,21.1,72.8,160000.0,109500.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,63559,2023,,0.0,,157000.0,109600.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,74743,2023,,13.6,31.6,153900.0,110100.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,42207,2023,,0.0,,144200.0,110300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,25918,2023,,3.8,99.5,194500.0,112000.0,26-50% of geographies,Bottom 25% of geographies
zcta,32640,2023,,23.8,80.1,177800.0,112400.0,26-50% of geographies,Bottom 25% of geographies
zcta,49821,2023,,2.3,,181600.0,113900.0,26-50% of geographies,Bottom 25% of geographies
zcta,49689,2023,,1.4,,155400.0,114000.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,36442,2023,,11.1,62.5,150300.0,114900.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,79930,2023,,1.9,7.9,144400.0,115300.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,72832,2023,,0.0,,64500.0,116700.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,99782,2023,,0.0,,95900.0,116700.0,Bottom 25% of geographies,Bottom 25% of geographies
zcta,46628,2023,,30.5,36.8,176900.0,118100.0,26-50% of geographies,26-50% of geographies
zcta,49639,2023,,1.4,,168000.0,118400.0,26-50% of geographies,26-50% of geographies
zcta,25951,2023,,6.7,82.6,117000.0,119500.0,Bottom 25% of geographies,26-50% of geographies
zcta,23942,2023,,29.5,56.2,,121600.0,,26-50% of geographies
zcta,73660,2023,,0.0,,137500.0,122600.0,Bottom 25% of geographies,26-50% of geographies
zcta,49836,2023,,0.1,0.0,209100.0,122700.0,26-50% of geographies,26-50% of geographies
zcta,57225,2023,,0.0,,156600.0,123500.0,Bottom 25% of geographies,26-50% of geographies
zcta,72947,2023,,0.4,,192500.0,124200.0,26-50% of geographies,26-50% of geographies
zcta,70714,2023,,70.4,66.4,166400.0,124800.0,26-50% of geographies,26-50% of geographies
